Date,PX_LAST,PX_VOLUME
11/19/13,18.2,11798
11/18/13,18.1,4929
11/15/13,18.2,10930
11/14/13,18.25,5066
11/13/13,18.25,6693
11/12/13,18.1,5535
11/11/13,18.05,5464
11/8/13,17.9,5756
11/7/13,18.25,6177
11/6/13,17.95,6622
11/5/13,18.15,3465
11/4/13,18.05,4246
11/1/13,18.35,3876
10/31/13,18.25,4358
10/30/13,18.2,7260
10/29/13,18.15,5091
10/28/13,18.15,7063
10/25/13,18.05,4468
10/24/13,17.9,5868
10/23/13,18,6756
10/22/13,17.85,7336
10/21/13,17.75,7095
10/18/13,17.75,10015
10/17/13,17.9,11246
10/16/13,18.5,10705
10/15/13,18.65,15223
10/14/13,18.35,11330
10/11/13,18.25,12039
10/10/13,18.8,13597
10/9/13,19.85,16927
10/8/13,19.95,17231
10/7/13,19.25,9213
10/4/13,18.7,8555
10/3/13,18.85,11347
